ID,CBSA,Alcohol,Marijuana,Heroine,Cokaine,Methaphetamine,Opiates,Patients,Metro_Areas,Total_population,Male_population,Female_population,Area_ID,Poverty_percent,Per_Capita,Agriculture_related,Construction,Manufacturing,Wholesale_trade,Retail_trade,Transportation_Warehouse,Information,Banking,Professional_Scientific_Management,Education_health_services
40,16580,248,203,52,77,47,27,395,"Champaign-Urbana, IL Metro Area",234672,117053,117619,16580,20.8,26452,2503,4156,9199,3229,12066,4651,2569,5793,9310,43064
41,16620,271,187,48,22,32,151,434,"Charleston, WV Metro Area",225248,108888,116360,16620,16.1,26851,4574,5134,4377,2710,11458,5309,2266,5898,9696,24117
42,16740,1685,2466,332,741,92,784,4852,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2298915,1117511,1181404,16740,15.3,28403,6330,70549,127170,37178,127344,58542,23885,104177,118294,212222
43,16820,682,503,67,236,35,144,1003,"Charlottesville, VA Metro Area",223063,107831,115232,16820,14.2,31911,1885,6726,4406,1618,9999,3184,1972,5799,12293,34404
44,16860,442,484,77,207,320,610,1240,"Chattanooga, TN-GA Metro Area",537397,260595,276802,16860,16.1,25315,1304,15601,34619,6090,27979,16682,4021,18580,21551,53335
45,16980,6650,5361,5597,3666,89,444,14232,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9516448,4650729,4865719,16980,14.1,31488,15319,226654,557004,141618,484169,268023,100392,343570,572284,995107
46,17020,188,188,200,17,330,227,756,"Chico, CA Metro Area",221578,109745,111833,17020,21.5,24430,2813,4591,5147,1775,12105,2847,1579,4414,8798,25706
47,17140,1611,1585,2353,700,139,869,4547,"Cincinnati, OH-KY-IN Metro Area",2131793,1042464,1089329,17140,14.1,29008,4298,50708,142773,30673,121016,50520,17920,76341,112672,231698
48,17300,338,250,81,112,188,215,638,"Clarksville, TN-KY Metro Area",270751,136138,134613,17300,17.3,22109,1794,5491,13323,1662,13234,4804,1420,4507,7839,23387
49,17460,2593,2295,1621,1219,40,679,5457,"Cleveland-Elyria, OH Metro Area",2067490,995456,1072034,17460,15.5,28499,4354,44531,139382,27602,103153,41403,17626,72131,99775,245945
50,17660,125,105,44,13,134,50,246,"Coeur d'Alene, ID Metro Area",142783,70471,72312,17660,13,25190,1517,5848,5211,1686,9126,2512,1273,4573,6658,12594
51,17820,5415,1700,723,659,2246,560,8198,"Colorado Springs, CO Metro Area",669070,335926,333144,17820,12.3,29398,2499,20325,19898,5681,33282,11478,8165,18765,38105,63796
52,17860,845,812,141,201,372,182,1494,"Columbia, MO Metro Area",168268,81402,86866,17860,20.1,27098,781,3123,4041,1826,11762,2997,1995,6556,6681,32782
53,18140,3387,3395,2517,1892,147,1625,7197,"Columbus, OH Metro Area",1948188,957480,990708,18140,15.1,29145,6023,47395,88962,30468,116832,47285,21317,90454,104148,228120
54,18580,1372,1130,778,880,374,333,2917,"Corpus Christi, TX Metro Area",437528,215758,221770,18580,17.7,24762,8694,16818,13283,4609,23639,9833,2872,9801,15746,46893
55,19060,521,668,447,169,6,486,1368,"Cumberland, MD-WV Metro Area",101888,52096,49792,19060,17.7,20941,707,2787,4105,603,4671,2288,689,1807,2483,11021
56,19100,3009,3141,2197,1666,2140,1044,8354,"Dallas-Fort Worth-Arlington, TX Metro Area",6703020,3300766,3402254,19100,14.8,29766,43083,234970,333783,102054,372112,191447,81632,286771,406650,634490
